lat, lon, elevation, xIndex, yIndex
67.8970708229751, 74.71167148729256, -4.0, 1, 5
67.89707004641137, 74.71881311305754, -3.0, 2, 5
67.8970689592222, 74.72595473825103, -3.0, 3, 5
67.89706756140764, 74.73309636268257, -3.0, 4, 5
67.89706585296774, 74.74023798616165, -2.0, 5, 5
67.89706383390258, 74.74737960849777, -2.0, 6, 5
67.89706150421223, 74.75452122950045, -2.0, 7, 5
67.8970588638968, 74.76166284897921, -1.0, 8, 5
67.8970559129564, 74.76880446674356, -1.0, 9, 5
67.89705265139115, 74.77594608260299, -1.0, 10, 5
67.8970490792012, 74.783087696367, -1.0, 11, 5
67.89704519638667, 74.79022930784515, -1.0, 12, 5
67.89704100294774, 74.7973709168469, -1.0, 13, 5
67.89703649888462, 74.8045125231818, -1.0, 14, 5
67.89703168419744, 74.81165412665933, -1.0, 15, 5
67.89702655888644, 74.81879572708903, 19.0, 16, 5
67.89702112295183, 74.82593732428039, 19.0, 17, 5
67.89701537639385, 74.83307891804294, 15.0, 18, 5
67.89976104383743, 74.70453068599805, -4.0, 0, 6
67.89976057783663, 74.71167313699539, -4.0, 1, 6
67.89975980116867, 74.71881558761157, -3.0, 2, 6
67.89975871383356, 74.72595803765608, -3.0, 3, 6
67.89975731583137, 74.73310048693833, -3.0, 4, 6
67.89975560716215, 74.74024293526774, -2.0, 5, 6
67.89975358782596, 74.74738538245377, -2.0, 6, 6
67.89975125782287, 74.75452782830585, -2.0, 7, 6
67.89974861715302, 74.76167027263342, -1.0, 8, 6
67.8997456658165, 74.7688127152459, -1.0, 9, 6
67.89974240381343, 74.77595515595274, -1.0, 10, 6
67.89973883114396, 74.78309759456337, -1.0, 11, 6
67.89973494780824, 74.79024003088725, -1.0, 12, 6
67.89973075380641, 74.79738246473377, -1.0, 13, 6
67.89972624913867, 74.80452489591242, -1.0, 14, 6
67.89972143380521, 74.8116673242326, -1.0, 15, 6
67.89971630780622, 74.81880974950379, 16.0, 16, 6
67.89971087114192, 74.82595217153538, 17.0, 17, 6
67.89970512381255, 74.83309459013684, 15.0, 18, 6
67.9024507978724, 74.70453151105579, -4.0, 0, 7
67.90245033180905, 74.71167478711078, -4.0, 1, 7
67.90244955503684, 74.7188180627845, -4.0, 2, 7
67.90244846755576, 74.72596133788629, -3.0, 3, 7
67.90244706936588, 74.73310461222553, -3.0, 4, 7
67.90244536046725, 74.74024788561158, -3.0, 5, 7
67.90244334085997, 74.74739115785381, -2.0, 6, 7
67.9024410105441, 74.75453442876157, -2.0, 7, 7
67.90243836951976, 74.76167769814423, -2.0, 8, 7
67.90243541778702, 74.76882096581114, -1.0, 9, 7
67.90243215534603, 74.77596423157169, -1.0, 10, 7
67.90242858219695, 74.78310749523523, -1.0, 11, 7
67.90242469833989, 74.7902507566111, -1.0, 12, 7
67.90242050377503, 74.7973940155087, -1.0, 13, 7
